Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,70.019997,70.019997,68.300003,69.220001,68.081100,679700
2023-05-11,68.790001,68.959999,67.860001,68.400002,67.274582,1235800
2023-05-12,68.669998,68.870003,66.720001,67.239998,66.133675,1321800
2023-05-15,67.220001,68.269997,67.099998,68.199997,67.077873,826800
2023-05-16,67.389999,67.620003,66.589996,67.209999,66.104164,776500
2023-05-17,67.480003,68.419998,67.250000,68.279999,67.156563,611100
2023-05-18,68.019997,69.160004,67.730003,69.139999,68.002411,628200
2023-05-19,69.620003,69.739998,68.000000,68.419998,67.294266,595500
2023-05-22,68.300003,68.910004,67.540001,68.190002,67.068047,847700
2023-05-23,67.489998,67.989998,66.709999,66.730003,65.632080,616100
2023-05-24,66.680000,66.690002,65.949997,66.349998,65.258316,755900
2023-05-25,66.540001,66.620003,65.550003,66.489998,65.396019,805800
2023-05-26,66.500000,66.910004,66.180000,66.669998,65.573051,728900
2023-05-30,66.620003,66.910004,65.940002,66.690002,65.592735,720400
2023-05-31,66.230003,66.529999,63.880001,63.939999,62.887970,4782000
2023-06-01,64.169998,64.919998,63.939999,64.580002,63.517441,1361700
2023-06-02,65.440002,68.440002,65.440002,68.410004,67.284431,1371900
2023-06-05,68.309998,68.720001,67.699997,68.449997,67.323769,1007200
2023-06-06,68.250000,69.650002,68.120003,68.639999,67.510635,671000
2023-06-07,68.699997,70.150002,68.349998,70.080002,68.926949,646100
2023-06-08,69.769997,70.260002,69.300003,69.739998,68.592545,583800
2023-06-09,69.889999,69.900002,68.449997,68.790001,67.658173,502700
2023-06-12,68.919998,69.099998,68.220001,68.570000,67.441795,650500
2023-06-13,68.690002,70.019997,68.669998,69.720001,68.572876,873300
2023-06-14,69.809998,70.320000,69.160004,69.629997,68.484344,638200
2023-06-15,69.809998,70.610001,68.779999,70.510002,69.349869,780700
2023-06-16,70.900002,71.199997,70.370003,71.000000,69.831825,1764900
2023-06-20,70.419998,70.629997,69.809998,70.089996,68.936775,693200
2023-06-21,69.720001,70.339996,69.220001,69.849998,68.700729,712400
2023-06-22,69.769997,69.769997,68.970001,69.040001,67.904068,867400
2023-06-23,68.580002,69.639999,68.169998,69.489998,68.346657,1112700
2023-06-26,69.489998,71.070000,69.489998,70.949997,69.782623,822900
2023-06-27,71.209999,72.690002,71.209999,72.269997,71.080910,937600
2023-06-28,72.129997,72.570000,71.739998,72.129997,70.943214,673000
2023-06-29,71.910004,72.839996,71.910004,72.379997,71.189102,651600
2023-06-30,72.889999,73.220001,72.300003,72.779999,71.582527,452600
2023-07-03,72.300003,72.860001,71.440002,72.370003,71.179283,480500
