Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,10.010000,10.020000,8.890000,8.990000,8.990000,9327700
2023-05-11,9.000000,9.370000,8.600000,8.890000,8.890000,5470400
2023-05-12,9.020000,9.340000,8.380000,8.450000,8.450000,4547800
2023-05-15,8.400000,8.510000,8.040000,8.110000,8.110000,4083200
2023-05-16,8.100000,8.100000,7.580000,7.640000,7.640000,4300800
2023-05-17,7.690000,7.800000,7.430000,7.750000,7.750000,3591100
2023-05-18,7.750000,7.760000,7.330000,7.420000,7.420000,4583600
2023-05-19,7.370000,7.410000,7.100000,7.150000,7.150000,3716100
2023-05-22,7.110000,7.610000,7.090000,7.540000,7.540000,3727800
2023-05-23,7.560000,8.260000,7.420000,7.990000,7.990000,7151900
2023-05-24,8.300000,8.300000,7.240000,7.290000,7.290000,5557200
2023-05-25,7.210000,7.350000,6.640000,6.890000,6.890000,6393100
2023-05-26,6.920000,7.270000,6.800000,7.210000,7.210000,4104100
2023-05-30,7.250000,7.510000,7.090000,7.430000,7.430000,3782700
2023-05-31,7.430000,8.130000,7.400000,8.050000,8.050000,7555100
2023-06-01,7.990000,8.190000,7.560000,7.720000,7.720000,3624300
2023-06-02,7.870000,7.920000,7.500000,7.620000,7.620000,3476000
2023-06-05,7.810000,8.200000,7.660000,7.850000,7.850000,5557700
2023-06-06,7.720000,7.790000,7.110000,7.230000,7.230000,8020200
2023-06-07,7.230000,7.790000,7.090000,7.670000,7.670000,5851200
2023-06-08,7.660000,7.900000,7.300000,7.690000,7.690000,5459500
2023-06-09,7.740000,8.200000,7.450000,7.470000,7.470000,5511300
2023-06-12,7.620000,7.960000,7.470000,7.780000,7.780000,4247300
2023-06-13,7.850000,8.530000,7.730000,8.040000,8.040000,7069300
2023-06-14,8.190000,8.300000,7.690000,7.720000,7.720000,5915400
2023-06-15,7.720000,8.420000,7.650000,8.060000,8.060000,6036500
2023-06-16,8.200000,8.340000,7.890000,8.040000,8.040000,6922900
2023-06-20,8.060000,8.060000,7.230000,7.470000,7.470000,8395600
2023-06-21,7.480000,7.690000,7.160000,7.440000,7.440000,4054500
2023-06-22,7.390000,7.400000,7.070000,7.160000,7.160000,4945200
2023-06-23,7.100000,7.140000,6.610000,6.700000,6.700000,16301000
2023-06-26,6.710000,6.830000,6.560000,6.670000,6.670000,3818400
2023-06-27,6.690000,7.120000,6.590000,7.080000,7.080000,3667400
2023-06-28,7.170000,7.590000,7.030000,7.530000,7.530000,6820600
2023-06-29,7.530000,7.830000,7.450000,7.590000,7.590000,5015200
2023-06-30,7.620000,7.760000,7.390000,7.430000,7.430000,3416100
2023-07-03,7.480000,7.590000,7.220000,7.380000,7.380000,2177900
2023-07-05,7.380000,7.460000,7.210000,7.360000,7.360000,3031100
2023-07-06,7.250000,7.340000,6.900000,7.060000,7.060000,4103300
2023-07-07,7.050000,7.340000,7.050000,7.230000,7.230000,3190400
2023-07-10,7.350000,9.550000,7.300000,9.360000,9.360000,28120700
2023-07-11,9.110000,10.180000,8.850000,9.620000,9.620000,15375300
2023-07-12,9.880000,9.920000,9.280000,9.340000,9.340000,5416900
2023-07-13,9.380000,9.470000,9.160000,9.240000,9.240000,3995200
2023-07-14,9.210000,9.230000,8.510000,8.680000,8.680000,5532500
2023-07-17,8.700000,8.740000,8.140000,8.160000,8.160000,4323500
2023-07-18,8.130000,8.680000,7.940000,8.110000,8.110000,4974700
2023-07-19,8.150000,8.350000,8.030000,8.110000,8.110000,4009900
2023-07-20,8.160000,8.300000,7.900000,8.060000,8.060000,4110700
2023-07-21,8.200000,8.200000,7.680000,8.150000,8.150000,4298100
2023-07-24,8.270000,8.290000,7.810000,7.970000,7.970000,3768200
2023-07-25,8.000000,8.290000,7.990000,8.000000,8.000000,4008900
2023-07-26,8.020000,8.290000,7.920000,8.220000,8.220000,2866200
2023-07-27,8.250000,8.390000,7.830000,7.850000,7.850000,4950100
2023-07-28,7.990000,8.340000,7.880000,8.200000,8.200000,4646200
2023-07-31,8.250000,9.340000,8.200000,9.280000,9.280000,8106300
2023-08-01,9.140000,9.290000,8.640000,8.750000,8.750000,4125500
2023-08-02,8.620000,8.740000,7.860000,8.400000,8.400000,7031700
2023-08-03,8.480000,8.840000,8.210000,8.230000,8.230000,4053600
2023-08-04,8.240000,8.300000,8.000000,8.060000,8.060000,4031800
2023-08-07,8.080000,8.080000,7.290000,7.520000,7.520000,8355800
2023-08-08,8.120000,8.820000,7.100000,7.230000,7.230000,30172000
2023-08-09,7.440000,7.680000,6.850000,7.120000,7.120000,10853700
2023-08-10,7.160000,8.130000,7.100000,7.690000,7.690000,13173300
2023-08-11,7.690000,7.730000,7.340000,7.360000,7.360000,6384500
2023-08-14,7.300000,7.350000,7.010000,7.240000,7.240000,4274400
2023-08-15,7.150000,7.310000,7.040000,7.240000,7.240000,4786800
2023-08-16,7.150000,7.450000,7.070000,7.130000,7.130000,3658300
2023-08-17,7.150000,7.620000,7.130000,7.370000,7.370000,6130700
2023-08-18,7.330000,7.550000,7.070000,7.140000,7.140000,4762100
2023-08-21,7.250000,8.510000,6.980000,8.070000,8.070000,17114200
2023-08-22,8.300000,9.600000,8.210000,9.160000,9.160000,27398000
2023-08-23,9.100000,9.530000,8.700000,9.010000,9.010000,12794100
2023-08-24,8.990000,9.030000,7.920000,8.230000,8.230000,10925300
2023-08-25,8.240000,8.320000,8.000000,8.050000,8.050000,5909100
2023-08-28,8.150000,9.040000,8.080000,8.350000,8.350000,14425600
2023-08-29,8.240000,8.450000,8.110000,8.300000,8.300000,5908600
2023-08-30,8.300000,8.600000,8.180000,8.360000,8.360000,6817600
2023-08-31,8.360000,8.570000,8.000000,8.000000,8.000000,7639400
2023-09-01,8.040000,8.470000,8.020000,8.210000,8.210000,8004100
2023-09-05,8.320000,9.270000,8.250000,9.050000,9.050000,19613400
2023-09-06,9.070000,10.300000,9.040000,9.740000,9.740000,28111000
2023-09-07,9.820000,9.980000,8.700000,9.150000,9.150000,19695200
2023-09-08,9.030000,9.750000,8.900000,8.970000,8.970000,11072900
2023-09-11,9.020000,9.020000,7.730000,7.820000,7.820000,19083200
2023-09-12,7.860000,8.330000,7.440000,7.910000,7.910000,12059100
2023-09-13,7.890000,7.930000,7.340000,7.360000,7.360000,12524900
2023-09-14,7.420000,8.020000,7.300000,7.990000,7.990000,13357500
2023-09-15,7.890000,8.080000,7.670000,7.710000,7.710000,10910100
2023-09-18,7.770000,7.860000,7.390000,7.410000,7.410000,6989500
2023-09-19,7.410000,7.750000,7.360000,7.680000,7.680000,10583300
2023-09-20,7.730000,7.750000,6.940000,7.050000,7.050000,14609400
2023-09-21,6.940000,7.040000,6.720000,6.810000,6.810000,9388000
2023-09-22,6.870000,7.160000,6.810000,7.130000,7.130000,6591200
2023-09-25,7.070000,7.570000,6.900000,7.310000,7.310000,8341400
2023-09-26,7.200000,7.540000,7.050000,7.110000,7.110000,7182300
2023-09-27,7.180000,7.380000,7.030000,7.190000,7.190000,4110600
2023-09-28,7.190000,7.270000,7.010000,7.160000,7.160000,3483700
2023-09-29,7.290000,7.680000,7.160000,7.240000,7.240000,8129600
2023-10-02,7.240000,7.310000,7.040000,7.090000,7.090000,5118000
2023-10-03,7.080000,8.150000,6.730000,7.670000,7.670000,29181300
2023-10-04,7.710000,7.780000,6.970000,7.330000,7.330000,13968700
2023-10-05,7.250000,7.330000,6.910000,7.130000,7.130000,8131100
2023-10-06,7.000000,7.730000,6.990000,7.620000,7.620000,11862100
2023-10-09,7.430000,7.530000,7.150000,7.180000,7.180000,6497800
2023-10-10,7.220000,7.480000,7.210000,7.380000,7.380000,4700100
2023-10-11,7.430000,8.120000,7.430000,7.630000,7.630000,10250700
2023-10-12,7.600000,7.630000,7.200000,7.450000,7.450000,8553200
2023-10-13,7.400000,7.400000,6.810000,7.050000,7.050000,12370500
2023-10-16,6.970000,7.210000,6.380000,6.630000,6.630000,15022000
2023-10-17,6.550000,6.770000,6.410000,6.450000,6.450000,7158900
2023-10-18,6.400000,6.560000,6.330000,6.470000,6.470000,6060600
2023-10-19,6.570000,6.570000,6.000000,6.110000,6.110000,6904100
2023-10-20,6.130000,6.590000,6.020000,6.430000,6.430000,6888400
2023-10-23,6.350000,6.590000,6.090000,6.160000,6.160000,6521700
2023-10-24,6.340000,6.490000,6.090000,6.250000,6.250000,4682400
2023-10-25,6.230000,6.420000,6.160000,6.270000,6.270000,4229400
2023-10-26,6.200000,6.480000,6.150000,6.420000,6.420000,5485500
2023-10-27,6.500000,6.540000,6.300000,6.350000,6.350000,3570900
2023-10-30,6.320000,6.690000,6.320000,6.520000,6.520000,4684100
2023-10-31,6.490000,6.830000,6.360000,6.660000,6.660000,5653700
2023-11-01,6.700000,7.050000,6.680000,7.000000,7.000000,6422300
2023-11-02,6.950000,7.220000,6.800000,7.140000,7.140000,5711200
2023-11-03,7.280000,7.470000,7.030000,7.060000,7.060000,5440700
2023-11-06,7.130000,7.180000,6.780000,6.890000,6.890000,5031200
2023-11-07,6.900000,7.150000,6.850000,7.090000,7.090000,4783600
2023-11-08,7.190000,7.190000,6.700000,6.800000,6.800000,6151100
2023-11-09,6.930000,7.490000,6.710000,6.710000,6.710000,9923600
2023-11-10,6.680000,6.690000,5.950000,6.240000,6.240000,9112700
2023-11-13,6.270000,6.290000,6.090000,6.270000,6.270000,4107000
2023-11-14,6.470000,6.510000,6.170000,6.240000,6.240000,6177100
2023-11-15,6.330000,6.490000,6.190000,6.200000,6.200000,5367000
2023-11-16,6.120000,6.130000,5.760000,5.830000,5.830000,7571000
2023-11-17,5.820000,5.960000,5.650000,5.730000,5.730000,6198700
2023-11-20,5.750000,5.750000,5.560000,5.700000,5.700000,5386900
2023-11-21,5.620000,5.680000,5.330000,5.350000,5.350000,4598300
2023-11-22,5.400000,5.490000,5.300000,5.400000,5.400000,4420400
2023-11-24,5.470000,5.800000,5.450000,5.570000,5.570000,3925600
2023-11-27,5.600000,5.610000,5.390000,5.460000,5.460000,4079800
2023-11-28,5.520000,5.800000,5.430000,5.730000,5.730000,6189800
2023-11-29,5.770000,5.930000,5.550000,5.560000,5.560000,6973200
2023-11-30,5.600000,5.710000,5.420000,5.500000,5.500000,5654300
2023-12-01,5.500000,5.600000,5.330000,5.570000,5.570000,6857200
2023-12-04,5.520000,5.850000,5.470000,5.750000,5.750000,6231700
2023-12-05,5.800000,6.050000,5.580000,5.590000,5.590000,8146700
2023-12-06,5.600000,5.820000,5.560000,5.580000,5.580000,5970700
2023-12-07,5.580000,5.590000,5.420000,5.530000,5.530000,5705600
2023-12-08,5.500000,5.620000,5.430000,5.570000,5.570000,4995100
2023-12-11,5.620000,5.770000,5.520000,5.570000,5.570000,6964800
2023-12-12,5.570000,5.570000,5.190000,5.310000,5.310000,8199200
2023-12-13,5.210000,5.420000,5.060000,5.360000,5.360000,10167900
2023-12-14,5.580000,5.880000,5.450000,5.690000,5.690000,15269300
2023-12-15,5.730000,5.830000,5.380000,5.400000,5.400000,19917500
